Wall time,Step,Value
1679968826.171251,3177,2.5315184757346287e-06
1679968938.951048,3188,2.1898504201089963e-06
1679969011.946295,3195,2.601153482828522e-06
1679969022.277271,3196,2.5338067644042894e-06
1679969096.916471,3203,1.7585474552106461e-06
1679969128.094148,3206,2.238222123196465e-06
1679969377.368243,3230,2.3582722405990353e-06
1679969408.980295,3233,3.1199056138575543e-06
1679969480.891349,3240,2.569492608017754e-06
1679969511.985174,3243,2.0887384835077683e-06
1679969522.125185,3244,2.782333240247681e-06
1679969542.857428,3246,3.186060666848789e-06
1679969553.54267,3247,2.575113057901035e-06
1679969762.4926,3267,3.23351014230866e-06
1679969814.512461,3272,2.2706167328578886e-06
1679969908.589834,3281,2.0971444882889045e-06
1679969929.42016,3283,1.9395210983930156e-06
1679970159.227226,3305,3.798718125835876e-06
1679970242.710948,3313,2.7895723633264424e-06
1679970388.623702,3327,2.171831511077471e-06
1679970399.020921,3328,2.0228460471116705e-06
1679970450.67438,3333,4.0977070057124365e-06
1679970501.917603,3338,2.8738088531099493e-06
1679970575.026411,3345,2.982059413625393e-06
1679970880.268451,3374,1.5962079942255514e-06
1679970901.048703,3376,2.325017021576059e-06
1679970921.709804,3378,2.8120705337641994e-06
1679971004.892006,3386,1.8815143221218023e-06
1679971183.700341,3403,3.1058350487001007e-06
1679971235.6753,3408,2.42742316913791e-06
1679971464.660094,3430,5.683280960511183e-06
1679971495.369776,3433,5.110312031320063e-06
1679971547.828852,3438,2.730958840402309e-06
1679971620.312117,3445,5.074132332083536e-06
1679971661.438667,3449,3.231036544093513e-06
1679971684.136159,3451,4.579484993882943e-06
1679971745.10883,3457,2.6584039005683735e-06
1679971755.330655,3458,3.008028443218791e-06
1679971817.503933,3464,2.0559225504257483e-06
1679971891.075599,3471,1.8014870875049382e-06
1679971953.659517,3477,1.8855294001696166e-06
1679971984.991685,3480,1.688001702859765e-06
1679972163.082093,3497,3.1580941595166223e-06
1679972183.926841,3499,2.3883401354396483e-06
1679972291.197171,3509,1.9357012206455693e-06
1679972322.402562,3512,1.9252440779382596e-06
1679972395.672684,3519,1.7869726889330195e-06
1679972563.079182,3535,1.8637791754372302e-06
1679972584.032652,3537,1.64350888098852e-06
1679972646.836403,3543,2.2298263502307236e-06
1679972688.117315,3547,3.079204816458514e-06
1679972709.25151,3549,2.9813036235282198e-06
1679972858.491977,3563,1.767425715115678e-06
1679973036.240125,3580,2.3275997591554187e-06
1679973162.392463,3592,2.206994849984767e-06
1679973245.854321,3600,2.0456875517993467e-06
1679973435.893761,3618,1.9121619061479578e-06
1679973456.708773,3620,1.9653398339869455e-06
1679973477.791267,3622,1.787027599675639e-06
1679973509.034838,3625,1.6139466652020928e-06
1679973540.648517,3628,1.6524105603821226e-06
1679973718.520703,3645,1.9756664642045507e-06
1679973834.788731,3656,2.752346517809201e-06
1679973845.208907,3657,2.840677325366414e-06
1679973980.058924,3670,2.151541593775619e-06
1679974290.329637,3700,5.676422915712465e-06
1679974313.198867,3702,4.9813925215858035e-06
1679974563.129865,3726,4.192555024928879e-06
1679974605.31478,3730,4.02230443796725e-06
1679974625.562386,3732,4.320474090491189e-06
1679974688.345157,3738,3.657783736343845e-06
1679974719.991253,3741,3.833889422821812e-06
1679974740.999882,3743,3.438666681176983e-06
1679974836.826515,3752,4.3052345972682815e-06
1679974909.229327,3759,4.677103788708337e-06
1679975045.506159,3772,4.388678462419193e-06
1679975129.670877,3780,4.466650807444239e-06
1679975266.552162,3793,4.9341779231326655e-06
1679975286.956277,3795,4.882496796199121e-06
1679975317.851759,3798,6.052064691175474e-06
1679975445.544655,3810,4.479118615563493e-06
1679975487.511256,3814,3.1729161946714157e-06
1679975540.137741,3819,2.558182359280181e-06
1679975561.107845,3821,2.157571316274698e-06
1679975666.227121,3831,2.3612026325281477e-06
1679975708.138105,3835,4.30064756073989e-06
1679975844.066301,3848,1.8480133121556719e-06
1679976013.371529,3864,1.553837364554056e-06
1679976065.959628,3869,1.9008027720701648e-06
1679976139.71155,3876,2.108622311425279e-06
1679976401.808431,3901,1.775242594703741e-06
1679976412.05943,3902,2.1794917302031536e-06
1679976496.18083,3910,2.485551704012323e-06
1679976600.822149,3920,2.6988691388396546e-06
1679976685.116902,3928,1.8451559071763768e-06
1679976758.750825,3935,1.6517581116204383e-06
1679976800.489431,3939,2.267020363433403e-06
1679976916.593771,3950,2.3256734493770637e-06
1679976980.669203,3956,3.4137258353439393e-06
1679977043.537011,3962,1.801113512556185e-06
1679977273.855771,3984,1.7637507880863268e-06
1679977389.723974,3995,1.6647787788315327e-06
1679977442.279402,4000,1.6799493778307806e-06
1679977539.271669,4009,2.1476093934325036e-06
1679977549.833858,4010,1.8605404648042168e-06
1679977665.11765,4021,2.808534873111057e-06
1679977675.925245,4022,2.2790147795603843e-06
1679977791.363147,4033,3.010750333487522e-06
1679977822.74107,4036,4.6462714635708835e-06
1679977927.258037,4046,2.4208554805227323e-06
1679977937.930033,4047,1.4696898915644852e-06
1679977948.480814,4048,1.5732402971480042e-06
1679978423.478482,4093,2.264983777422458e-06
1679978476.474214,4098,1.4266639709603623e-06
1679978486.95359,4099,1.660927182456362e-06
1679978594.093865,4109,1.7549047015563701e-06
1679979365.42931,4182,2.089343752231798e-06
1679979480.952766,4193,2.1839505279785953e-06
1679979491.433714,4194,2.006706608881359e-06
1679979512.509554,4196,1.7231068341061473e-06
1679979533.794841,4198,1.997890876737074e-06
1679979567.304807,4201,2.7913602025364526e-06
1679979577.838392,4202,2.0537527234409936e-06
1679979599.170236,4204,2.270623099320801e-06
1679979839.751917,4227,1.8983032532560173e-06
1679979892.259276,4232,1.5197507536868216e-06
1679979923.8415,4235,1.8631816374181653e-06
1679980008.505198,4243,1.787692440302635e-06
1679980125.882045,4254,2.072253892038134e-06
1679980219.570854,4263,3.8116550058475696e-06
1679980250.172425,4266,2.5921312953869347e-06
1679980260.750259,4267,2.4467863113386557e-06
1679980418.260736,4282,1.8800014913722407e-06
1679980586.426136,4298,2.7973646865575574e-06
1679980650.743815,4304,2.0011655124108074e-06
1679980692.953912,4308,1.840497020566545e-06
1679980786.859482,4317,4.526142220129259e-06
1679980807.807702,4319,3.1044810384628363e-06
1679980902.84639,4328,1.6865889165273984e-06
1679980944.615269,4332,1.855569166764326e-06
1679981008.063261,4338,1.699526592346956e-06
1679981060.82683,4343,1.6855500462042983e-06
1679981295.898012,4365,1.4524140397043084e-06
1679981337.395552,4369,4.210932729620254e-06
1679981432.426845,4378,1.6477811186632607e-06
1679981590.728443,4393,2.0319864688644884e-06
1679981665.124208,4400,1.1510999229358276e-06
1679981730.690143,4406,1.755691300786566e-06
1679981773.256527,4410,2.1305852442310425e-06
1679981783.759804,4411,1.7955767361854669e-06
1679981984.992599,4430,2.0556210529321106e-06
1679981995.447363,4431,2.392689566477202e-06
1679982016.518694,4433,2.223280716862064e-06
1679982079.985585,4439,2.2102758521214128e-06
1679982111.747101,4442,2.3905029138404643e-06
1679982396.990129,4469,2.1410128283605445e-06
1679982460.356078,4475,4.284123406250728e-06
1679982502.32583,4479,3.885682417603675e-06
1679982533.286484,4482,4.162065124546643e-06
1679982616.036721,4490,2.8134463718743064e-06
1679982637.050824,4492,3.5062528240814572e-06
1679982819.006376,4509,2.6192467430519173e-06
1679982829.589455,4510,3.0418179903790588e-06
1679983030.795171,4529,2.5106915018113796e-06
1679983041.316498,4530,2.5773592824407388e-06
1679983072.956491,4533,3.1679235235060332e-06
